,parm_cd,agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu,parameter_group_nm,parameter_nm,casrn,srsname,parameter_units
3219,10,USGS,11162620,PILARCITOS C BL STONE DAM NR HILLSBOROUGH CA,ST,37.52466087,-122.3994177,S,NAD83,500,12,NGVD29,18050006,uv,NA,14721,NA,wat,NA,1645597,0,10/1/2008,7/8/2017,3202,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
3409,10,USGS,11455335,SACRAMENTO R DEEP WATER SHIP CHANNEL NR RIO VISTA,ST,38.2561111,-121.6666667,5,NAD83,NA,NA,NA,18020109,uv,NA,16140,NA,wat,NA,1645597,0,10/1/2008,7/8/2017,3202,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
3493,10,USGS,11447650,SACRAMENTO R A FREEPORT CA,ST,38.45601954,-121.5013437,S,NAD83,NA,NA,NA,18020109,uv,NA,15770,"West Fender, [West Fender]",wat,NA,1645597,0,8/4/2015,7/8/2017,704,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
3541,10,USGS,10344500,LITTLE TRUCKEE R BL BOCA DAM NR TRUCKEE CA,ST,39.38685177,-120.0954757,F,NAD83,5500,17,NGVD29,16050102,uv,NA,13961,NA,wat,NA,1645597,0,3/10/2017,7/8/2017,120,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
3638,10,USGS,11162753,SAN MATEO C BL LO CRYSTAL SP RES NR SAN MATEO CA,ST,37.52944444,-122.3583333,S,NAD83,160,12,NGVD29,18050004,dv,2,8828,NA,wat,NA,1645597,0,9/12/2008,7/8/2017,3152,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
3711,10,USGS,11274790,TUOLUMNE R A GRAND CYN OF TUOLUMNE AB HETCH HETCHY,ST,37.9165884,-119.6598938,S,NAD83,3830,20,NGVD29,18040009,dv,1,9624,NA,wat,NA,1645597,0,10/21/2006,7/8/2017,3846,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
3993,10,USGS,11204100,SF TULE R NR RESERVATION BNDRY NR PORTERVILLE CA,ST,36.02411648,-118.8134258,S,NAD83,970,20,NGVD29,18030006,dv,1,9203,NA,wat,NA,1645597,0,1/26/2006,7/8/2017,3946,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
4092,10,USGS,11390500,SACRAMENTO R BL WILKINS SLOUGH NR GRIMES CA,ST,39.00989476,-121.82469,F,NAD83,NA,NA,NA,18020104,uv,NA,15657,NA,wat,NA,1645597,0,10/3/2007,7/8/2017,3566,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
4095,10,USGS,11447650,SACRAMENTO R A FREEPORT CA,ST,38.45601954,-121.5013437,S,NAD83,NA,NA,NA,18020109,uv,NA,15731,[Right Bank Pump Stand],wat,NA,1645597,0,10/1/2007,7/8/2017,3568,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
4167,10,USGS,10336660,BLACKWOOD C NR TAHOE CITY CA,ST,39.10740708,-120.1621352,F,NAD83,6234.59,17,NGVD29,16050101,dv,1,7524,NA,wat,NA,1645597,0,12/7/1980,7/8/2017,1964,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
4199,10,USGS,11302500,STANISLAUS R A OAKDALE CA,ST,37.77715006,-120.852988,F,NAD83,NA,NA,NA,18040002,uv,NA,15159,NA,wat,NA,1645597,0,10/1/2007,7/8/2017,3568,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
4433,10,USGS,11204100,SF TULE R NR RESERVATION BNDRY NR PORTERVILLE CA,ST,36.02411648,-118.8134258,S,NAD83,970,20,NGVD29,18030006,dv,2,9204,NA,wat,NA,1645597,0,1/26/2006,7/8/2017,3947,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
4470,10,USGS,11455478,SACRAMENTO R A DECKER ISLAND NR RIO VISTA CA,ST,38.093252,-121.7371772,S,NAD83,NA,NA,NA,18040003,uv,NA,16214,BGC PROJECT,wat,NA,1645597,0,1/25/2013,7/8/2017,1625,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
4506,10,USGS,10343500,SAGEHEN C NR TRUCKEE CA,ST,39.43157246,-120.2379793,F,NAD83,6320,17,NGVD29,16050102,dv,2,7645,NA,wat,NA,1645597,0,10/1/1969,7/8/2017,7647,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
4726,10,USGS,11383500,DEER C NR VINA CA,ST,40.01404745,-121.9483181,F,NAD83,479.2,0.01,NGVD29,18020103,uv,NA,15645,NA,wat,NA,1645597,0,10/1/2007,7/8/2017,3568,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
4736,10,USGS,11176900,ARROYO DE LA LAGUNA A VERONA CA,ST,37.62659915,-121.8830126,S,NAD83,280,20,NGVD29,18050004,dv,2,9001,NA,wat,NA,1645597,0,11/27/2003,7/8/2017,4788,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
4937,10,USGS,10261500,MOJAVE R A LO NARROWS NR VICTORVILLE CA,ST,34.57304916,-117.3206018,F,NAD83,2643.01,17,NGVD29,18090208,uv,NA,13763,NA,wat,NA,1645597,0,10/1/2007,7/8/2017,3568,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
5050,10,USGS,11467000,RUSSIAN R NR GUERNEVILLE CA,ST,38.50852336,-122.9277737,F,NAD83,20.14,0.01,NGVD29,18010110,uv,NA,16445,NA,wat,NA,1645597,0,10/1/2007,7/8/2017,3568,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
5096,10,USGS,10265150,HOT C A FLUME NR MAMMOTH LAKES CA,ST,37.66882166,-118.8176312,F,NAD83,6950,5,NGVD29,18090102,uv,NA,13784,NA,wat,NA,1645597,0,10/1/2007,7/8/2017,3568,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
