"","parm_cd","agency_cd","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd","alt_va","alt_acy_va","alt_datum_cd","huc_cd","data_type_cd","stat_cd","ts_id","loc_web_ds","medium_grp_cd","parm_grp_cd","srs_id","access_cd","begin_date","end_date","count_nu","parameter_group_nm","parameter_nm","casrn","srsname","parameter_units"
"15889","00010","USGS","11264500","MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA","ST",37.73131496,-119.5590514,"S","NAD83"," 4030"," 20","NGVD29","18040008","dv","00002",9530,"LEFT BANK WATER TEMP","wat",NA,1645597,0,1965-10-01,2017-07-08,10613,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"15892","00010","USGS","11381500","MILL C NR LOS MOLINOS CA","ST",40.0546022,-122.0241541,"F","NAD83"," 385.00"," 17","NGVD29","18020103","uv",NA,15640,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"15996","00010","USGS","10343500","SAGEHEN C NR TRUCKEE CA","ST",39.43157246,-120.2379793,"F","NAD83"," 6320.00"," 17","NGVD29","16050102","uv",NA,13934,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"16030","00010","USGS","11530000","TRINITY R A HOOPA CA","ST",41.049852,-123.673668,"F","NAD83"," 274.82",".01","NGVD29","18010211","dv","00001",11967,NA,"wat",NA,1645597,0,1964-02-28,2017-07-08,11537,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"16282","00010","USGS","11274790","TUOLUMNE R A GRAND CYN OF TUOLUMNE AB HETCH HETCHY","ST",37.9165884,-119.6598938,"S","NAD83"," 3830"," 20","NGVD29","18040009","dv","00002",9625,NA,"wat",NA,1645597,0,2006-10-21,2017-07-08,3846,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"16413","00010","USGS","11173500","CALAVERAS C NR SUNOL CA","ST",37.50194444,-121.8183333,"S","NAD83"," 475"," 20","NGVD29","18050004","dv","00002",8926,NA,"wat",NA,1645597,0,2008-10-01,2017-07-08,3198,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"16444","00010","USGS","11446980","AMERICAN R BL WATT AVE BRDG NR CARMICHAEL CA","ST",38.5671281,-121.3882857,"S","NAD83"," 25","2.5","NGVD29","18020111","uv",NA,15722,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"16449","00010","USGS","11277300","CHERRY C BL VALLEY DAM NR HETCH HETCHY CA","ST",37.96769944,-119.9174029,"F","NAD83",NA,NA,NA,"18040009","uv",NA,15079,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"16780","00010","USGS","10336610","UPPER TRUCKEE RV AT SOUTH LAKE TAHOE, CA","ST",38.9224078,-119.9915706,"S","NAD83"," 6229.04",".01","NGVD29","16050101","uv",NA,104044,NA,"wat",NA,1645597,0,2014-10-07,2017-07-08,1005,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"16891","00010","USGS","11383500","DEER C NR VINA CA","ST",40.01404745,-121.9483181,"F","NAD83"," 479.2",".01","NGVD29","18020103","dv","00002",10310,NA,"wat",NA,1645597,0,1998-10-05,2017-07-08,6670,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
